Sample,Spot,MarkerPos,MarkerNeg,auc,thetaOpt,specOpt,sensOpt,precOpt,accOpt,theta0,thetaOrig,spec0,sens0,prec0,acc0,F1,F0
mel_16,1,SOX10,CD4,0.8682338628337948,1.8661699999999999,0.9697908597986057,0.7324395770392749,0.9900459418070444,0.7789585547290117,1.8199948374443355,3.0049,0.9628195197521301,0.7379154078549849,0.9878665318503539,0.7819948383178988,0.841979596266551,0.8447903156074361
mel_16,1,SOX10,CD14,0.7812388578045658,1.7913550000000003,0.9350237717908082,0.6611820013431834,0.98969590349334,0.6874146045240626,1.8199948374443355,3.0049,0.936608557844691,0.6574882471457354,0.9898887765419616,0.6842265067557309,0.7927528938097635,0.7901533494753834
mel_16,1,SOX10,MRC1,0.7880146022024412,1.77623,0.946236559139785,0.639098954143202,0.9949899799599199,0.656444511917413,1.8199948374443355,3.0049,0.946236559139785,0.6333065164923573,0.9949443882709808,0.6509792014574162,0.7782894092289606,0.7739651951627176
mel_16,1,SOX10,CD3,0.8378476836420762,1.782515,0.9743589743589743,0.6740866610025489,0.9954830614805521,0.7060877485957189,1.8199948374443355,3.0049,0.9772079772079773,0.6694987255734919,0.9959555106167847,0.7022923941096099,0.8038500506585613,0.8007316329641296
mel_16,2,SOX10,CD4,0.6818255626880453,1.50532,0.9621928166351607,0.46232776311931983,0.9874765184721352,0.5294416243654823,1.8199948374443355,3.0049,0.9716446124763705,0.4256816182937555,0.9897750511247444,0.49898477157360405,0.6297923322683706,0.5953259532595325
mel_16,2,SOX10,CD56,0.4546217361048633,0.86159,0.6900212314225053,0.3845488613433266,0.9013513513513514,0.42106598984771576,1.8199948374443355,3.0049,0.18046709129511676,0.6016142980686077,0.8439142741609381,0.5512690355329949,0.5390988078399677,0.702457085156513
mel_16,2,SOX10,CD14,0.6573570791622159,1.5666700000000002,0.9689265536723164,0.43307306190741773,0.9929667519181585,0.4812182741116751,1.8199948374443355,3.0049,0.9858757062146892,0.40769659788064694,0.9965916837082481,0.45964467005076143,0.6031067961165049,0.5786661389273698
mel_16,2,SOX10,CD3,0.6974838860893003,1.488865,0.9782608695652174,0.43099730458221025,0.9968827930174564,0.46294416243654823,1.8199948374443355,3.0049,0.9826086956521739,0.39433962264150946,0.9972733469665985,0.42868020304568527,0.6018065487391796,0.565192196252656
mel_16,3,SOX10,CD4,0.9084780665967285,1.727765,0.9615728328865059,0.8031316509577379,0.9919263987983478,0.82616603871638306,1.8199948374443355,3.0049,0.966934763181412,0.7940103374885984,0.9929657794676806,0.8191503183058334,0.887600806451613,0.8824125696908262
mel_16,3,SOX10,CD14,0.8151549465692144,1.7748499999999998,0.8910675381263616,0.7224371373307543,0.9905285091873461,0.732493179160712,1.8199948374443355,3.0049,0.8910675381263616,0.7198121027908262,0.9904942965779467,0.7300246849421853,0.8355037149476712,0.833733397343575
mel_16,3,SOX10,MRC1,0.8372172628256699,1.67827,0.9318181818181818,0.7264805990469707,0.9955223880597015,0.7358711186176432,1.8199948374443355,3.0049,0.9403409090909091,0.7132743362831858,0.9960076045627376,0.7236585682733533,0.8399842581660764,0.8312574375247918
mel_16,3,SOX10,CD3,0.8902820441217537,1.47479,0.9588785046728971,0.7693381736944988,0.9960231381055676,0.7825126672729635,1.8199948374443355,3.0049,0.9813084112149533,0.7330354649539235,0.9980988593155894,0.7502923216837729,0.8681266740192216,0.8452745129608759
mel_16,4,SOX10,CD4,0.8933130731613359,2.35616,0.8849557522123894,0.8923821039903265,0.9964893329732649,0.8921845574387948,1.8199948374443355,3.0049,0.8495575221238938,0.917049576783555,0.9955368863218692,0.9152542372881356,0.9415667262056646,0.9546827794561933
mel_16,4,SOX10,CD14,0.7893235818433376,2.35616,0.75,0.8824233716475096,0.9951390764245207,0.8801789077212806,1.8199948374443355,3.0049,0.7222222222222222,0.9073275862068966,0.9947492780257285,0.9041902071563088,0.9353978931336464,0.9490294301815906
mel_16,4,SOX10,MRC1,0.8382787698412698,1.768395,0.7916666666666666,0.9069047619047619,0.9973815134852055,0.90560263653484,1.8199948374443355,3.0049,0.7916666666666666,0.9045238095238095,0.9973746390128643,0.9032485875706214,0.9499937648085797,0.9486827319265826
mel_16,4,SOX10,CD3,0.9407855223644697,1.846555,0.9666666666666667,0.9011379800853485,0.9997369805365597,0.9016007532956686,1.8199948374443355,3.0049,0.9333333333333333,0.9025604551920341,0.9994749278025729,0.9027777777777778,0.9478802992518703,0.9485486483119473
mel_16,5,SOX10,CD4,0.5497203870041818,0.4205265,0.7588152327221439,0.3587719298245614,0.7051724137931035,0.5121687398593835,1.8199948374443355,3.0049,0.014104372355430184,0.9508771929824561,0.6079641054402692,0.5916711736073553,0.4755813953488373,0.7417037290455012
mel_16,5,SOX10,CD56,0.7491407250581563,0.839753,0.6018518518518519,0.8045165843330981,0.8689024390243902,0.7571660356949702,1.8199948374443355,3.0049,0.10648148148148148,0.9858856739590685,0.783510936623668,0.7804218496484586,0.8354708684499816,0.873125
mel_16,5,SOX10,CD14,0.6380255481794408,0.788562,0.5416666666666666,0.6934218467109233,0.9288601455133387,0.6776636019469984,1.8199948374443355,3.0049,0.005208333333333333,0.9607724803862402,0.8928771733034212,0.8615467820443483,0.7940566689702834,0.9255813953488372
mel_16,5,SOX10,CD3,0.5233274602931413,1.1779799999999998,0.9836065573770492,0.13395638629283488,0.9817351598173516,0.24607896160086534,1.8199948374443355,3.0049,1,0.041121495327102804,1,0.167658193618172,0.2357456140350877,0.07899461400359066
