CD3.CD4,CD3.CD4.FOXP3,CD3.CD8
0,1.5783779362226247,1.1719323006427076
0,1.9774290777201453,0
0,1.5608149599347534,0
1.4462457506493522,1.4254379174326148,1.5662719434418573
1.6636015166503961,1.5312003341646157,0
1.5313587970186184,1.580496501517887,0
2.2280324556954376,2.3974396572532832,1.8466758447924867
0,2.176774467770805,0
0,1.3155041246606352,0
0,1.9402989719736277,0
0,0,0
1.3260410560632765,1.5580501269007487,1.2489091211814571
0,2.045752809375215,0
0,1.6901241935764288,0
1.2204785055492524,1.820806393449625,1.1607895384904219
0,1.4900526813580792,0
1.7332956983670638,2.7116393363097977,1.505201790565517
1.3099751969936617,1.7322872112155832,0
1.8381065755481307,2.9218508932735876,1.691165738838841
2.418046748188415,0,2.473891414651854
1.452240537286434,1.8279099258861145,1.2401907088403061
